,autosamples,automin,automean,automax,factor
69,28000,1782.8513624289951,1928.9281537434638,2019.2903642845,40
70,28400,1810.2434827047707,1956.753703495791,2047.9905659260626,40
71,28800,1838.7786907965574,1984.80923924085,2076.6186484127925,40
72,29200,1867.050442782927,2013.005610370266,2105.494703343166,40
73,29600,1894.4369330198995,2041.087291487872,2134.163119813213,40
74,30000,1920.818394366441,2069.107761980132,2162.9656110400447,40
75,30400,1947.7694461156034,2096.989827612847,2191.9458571213972,40
76,30800,1974.4201901377596,2124.874251895461,2220.2222487673635,40
77,31200,2000.3623640669523,2152.526688891372,2248.9573615116287,40
78,31600,2025.955438032299,2180.133919372968,2278.0357835835207,40
79,32000,2050.5615171855206,2207.6011676683856,2307.2051746139578,40
80,32400,2074.716282341761,2234.8628993632988,2336.1184350829462,40
81,32800,2098.9495090874843,2262.1246630639885,2365.185728567106,40
82,33200,2123.7447607124227,2289.5131650741455,2394.1331706242745,40
83,33600,2150.2032381815766,2317.171994568579,2423.0755820874106,40
84,34000,2175.309670292885,2344.716941996898,2452.1328611034983,40
85,34400,2200.138867338847,2372.1117127502794,2481.1624381895035,40
86,34800,2225.3584936846414,2399.5290900423947,2510.073237155009,40
87,35200,2251.044197872265,2426.9852137377798,2538.782978116233,40
88,35600,2276.0914918708545,2454.2911858580223,2567.557834917104,40
89,36000,2300.3485969170642,2481.6306106468082,2596.15940569083,40
90,36400,2325.175646551979,2508.9919240455415,2624.9723997924852,40
91,36800,2349.5784760546912,2536.2886187572417,2654.217878819972,40
92,37200,2374.6550045952695,2563.80548351052,2683.326636712732,40
93,37600,2399.7204529183014,2591.5140641941466,2712.5328319432583,40
94,38000,2425.2727696384436,2619.2966339293503,2742.0418773136557,40
95,38400,2451.0838955005324,2646.9602797498783,2771.338357423406,40
96,38800,2477.7978980023436,2674.650451126762,2800.8156623987265,40
97,39200,2503.926083958332,2702.1910856501827,2830.2357496451705,40
98,39600,2529.3266968584126,2729.434396154901,2859.4957812067487,40
99,40000,2554.6186948923805,2756.772704459869,2888.5455910615283,40
100,40400,2579.6426308412583,2784.063331016541,2917.3006378318564,40
101,40800,2604.496149709429,2811.494125993034,2946.3801368561512,40
102,41200,2629.8887824422322,2838.8323181897636,2975.2300087943513,40
103,41600,2655.9647039501615,2866.134295636019,3003.345312375257,40
104,42000,2682.3972462124525,2893.7842637115564,3031.8053416520047,40
105,42400,2709.8895206764737,2921.4538932992978,3060.4631750693443,40
106,42800,2737.2046902383386,2949.0251211941695,3089.306663430168,40
107,43200,2764.791100667809,2976.625205231364,3118.062789944763,40
108,43600,2791.2288283581534,3003.9653779604464,3147.2245562239023,40
109,44000,2817.9904494655375,3031.4943348136053,3176.477543552768,40
110,44400,2844.294927560778,3059.0106228925656,3205.440072549784,40
111,44800,2870.1153097918586,3086.400860552697,3234.354831530335,40
112,45200,2895.788140061127,3113.678615187441,3263.184483939387,40
113,45600,2922.2748402850116,3141.1438664185594,3292.125807399328,40
114,46000,2947.678940698971,3168.470160017175,3321.544567456837,40
115,46400,2973.351602411189,3195.890871657645,3350.5369844989987,40
116,46800,2998.8923200625277,3223.247572422067,3379.65353685711,40
117,47200,3025.045752552118,3250.712168846941,3408.4221364816863,40
118,47600,3051.6207249838744,3278.3366723852423,3437.7545203615196,40
119,48000,3078.6595925572888,3306.0368336547094,3467.009152159829,40
120,48400,3104.890706316755,3333.311108493533,3495.8770024008936,40
121,48800,3129.215664509756,3360.55644418421,3524.745042450932,40
