SOPHIE.2018-01-23T02:43:20.281_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-01-23T02:33:15.222    	
SOPHIE.2019-03-09T21:39:16.030_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-09T21:29:14.656    	
SOPHIE.2019-03-01T01:47:10.738_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-01T01:37:02.516    	
SOPHIE.2021-02-26T20:59:39.110_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-02-26T20:49:19.032    	
SOPHIE.2019-04-13T21:40:39.183_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-13T21:31:07.529    	
SOPHIE.2019-04-19T22:16:27.139_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-19T22:07:00.288    	
SOPHIE.2019-01-05T04:48:49.576_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-05T04:28:21.268    	
SOPHIE.2021-02-21T20:53:52.935_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-02-21T20:43:31.451    	
SOPHIE.2019-04-14T21:04:54.418_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-14T20:55:23.100    	
SOPHIE.2018-05-19T21:05:19.952_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-05-19T20:54:59.406    	
SOPHIE.2019-12-08T02:16:26.445_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-12-08T02:06:25.781    	
SOPHIE.2019-01-04T04:46:19.495_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-04T04:35:52.132    	
SOPHIE.2020-02-07T22:53:49.984_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-07T22:43:30.508    	
SOPHIE.2018-02-04T01:35:55.298_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-02-04T01:19:13.181    	
SOPHIE.2019-04-26T23:36:50.598_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-26T23:27:29.526    	
SOPHIE.2021-02-20T01:08:34.288_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-02-20T00:53:39.076    	
SOPHIE.2019-02-18T00:41:00.318_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-02-18T00:30:37.792    	
SOPHIE.2021-04-22T22:14:21.264_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-04-22T22:04:13.470    	
SOPHIE.2018-04-01T00:56:56.107_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-04-01T00:47:25.348    	
SOPHIE.2021-05-28T20:32:54.333_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-28T20:22:29.680    	
SOPHIE.2019-05-26T21:01:02.776_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-26T20:51:09.740    	
SOPHIE.2021-05-22T21:05:28.271_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-22T20:45:04.922    	
SOPHIE.2020-02-14T23:40:55.128_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-14T23:30:34.987    	
SOPHIE.2019-03-18T00:16:03.798_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2019-03-18T00:05:58.542    	
SOPHIE.2020-03-07T22:09:41.720_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-03-07T21:59:35.557    	
SOPHIE.2018-11-27T02:10:31.163_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-11-27T01:56:51.266    	
SOPHIE.2020-11-29T04:39:33.024_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-11-29T04:29:20.967    	
SOPHIE.2020-02-27T00:50:54.929_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-02-27T00:40:41.919    	
SOPHIE.2020-11-19T02:15:28.942_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-11-19T02:05:06.964    	
SOPHIE.2019-06-02T20:32:35.224_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-06-02T20:22:47.905    	
SOPHIE.2021-05-20T20:30:06.611_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-20T20:19:43.979    	
SOPHIE.2019-01-13T03:08:29.743_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-13T02:58:10.537    	
SOPHIE.2018-11-25T03:04:21.801_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-11-25T02:53:59.937    	
SOPHIE.2019-05-16T21:14:23.377_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-16T21:02:40.713    	
SOPHIE.2020-01-09T00:39:20.169_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-01-09T00:29:14.249    	
SOPHIE.2021-05-12T20:11:25.642_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-12T20:01:00.921    	
SOPHIE.2020-03-05T22:00:02.327_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-03-05T21:49:46.298    	
SOPHIE.2021-02-03T03:05:07.999_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-02-03T02:54:59.444    	
SOPHIE.2020-02-05T21:13:03.055_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-02-05T21:02:43.925    	
SOPHIE.2018-02-02T04:09:46.876_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-02-02T03:59:42.990    	
SOPHIE.2018-01-28T01:50:33.984_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-01-28T01:40:20.658    	
SOPHIE.2021-02-23T21:06:23.660_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-02-23T20:56:04.778    	
SOPHIE.2019-04-16T22:01:19.575_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-16T21:46:45.899    	
SOPHIE.2021-05-01T20:52:11.568_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-01T20:41:55.890    	
SOPHIE.2019-04-24T23:51:30.284_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-24T23:38:51.032    	
SOPHIE.2019-02-16T00:20:20.517_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-02-16T00:09:59.755    	
SOPHIE.2018-05-23T20:44:26.206_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-05-23T20:34:05.481    	
SOPHIE.2019-02-18T23:56:15.551_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-02-18T23:47:14.637    	
SOPHIE.2019-02-13T01:00:02.673_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-02-13T00:49:42.908    	
SOPHIE.2020-03-11T22:24:03.041_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-03-11T22:13:44.768    	
SOPHIE.2018-06-02T20:27:35.814_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2018-06-02T20:17:14.989    	
SOPHIE.2018-05-24T20:34:23.839_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-05-24T20:24:03.263    	
SOPHIE.2019-04-29T20:16:36.569_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2019-04-29T20:06:17.158    	
SOPHIE.2018-04-05T21:22:36.183_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-04-05T21:12:18.551    	
SOPHIE.2018-01-13T03:55:43.690_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-01-13T03:46:04.764    	
SOPHIE.2019-05-02T21:12:32.133_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2019-05-02T21:02:13.576    	
